Time,x,y,theta
1582075037.0,25.5,2.5,-0.68891096115112305
1582075037.0,25.5,2.5,-0.73851394653320312
1582075038.0,25.5,2.5,-0.76995420455932617
1582075038.0,25.5,2.5,-0.77065658569335938
1582075038.0,25.5,2.5,-0.77647829055786133
1582075038.0,25.5,2.5,-0.77805233001708984
1582075038.0,25.5,2.5,-0.77899646759033203
1582075038.0,25.5,2.5,-0.77938938140869141
1582075038.0,25.5,2.5,-0.78000831604003906
1582075038.0,25.5,2.5,-0.78009319305419922
1582075038.0,25.5,2.5,-0.77839040756225586
1582075038.0,25.5,2.5,-0.77726459503173828
1582075038.0,25.5,2.5,-0.77606391906738281
1582075038.0,25.5,2.5,-0.77664327621459961
1582075038.0,25.5,2.5,-0.77758979797363281
1582075038.0,25.5,2.5,-0.77931737899780273
1582075038.0,25.5,2.5,-0.779510498046875
1582075038.0,25.5,2.5,-0.77930402755737305
1582075038.0,25.5,2.5,-0.77954578399658203
1582075038.0,25.5,2.5,-0.77918195724487305
1582075038.0,25.5,2.5,-0.77867221832275391
1582075038.0,25.5,2.5,-0.77837419509887695
1582075038.0,25.5,2.5,-0.77805662155151367
1582075038.0,25.5,2.5,-0.77744102478027344
1582075039.0,25.5,2.5,-0.77705955505371094
1582075039.0,25.5,2.5,-0.77682256698608398
1582075039.0,25.5,2.5,-0.776947021484375
1582075039.0,25.5,2.5,-0.77678442001342773
1582075039.0,25.5,2.5,-0.77713489532470703
1582075039.0,25.5,2.5,-0.77693653106689453
1582075039.0,25.5,2.5,-0.77701520919799805
1582075039.0,25.5,2.5,-0.77762937545776367
1582075039.0,25.5,2.5,-0.77746391296386719
1582075039.0,25.5,2.5,-0.77650594711303711
1582075039.0,25.5,2.5,-0.77638339996337891
1582075039.0,25.5,2.5,-0.77642822265625
1582075039.0,25.5,2.5,-0.77633810043334961
1582075039.0,25.5,2.5,-0.77557659149169922
1582075039.0,25.5,2.5,-0.77600240707397461
1582075039.0,25.5,2.5,-0.77556324005126953
1582075039.0,25.5,2.5,-0.77494478225708008
1582075039.0,25.5,2.5,-0.77423000335693359
1582075039.0,25.5,2.5,-0.77389287948608398
1582075039.0,25.5,2.5,-0.77385854721069336
1582075039.0,25.5,2.5,-0.77437543869018555
1582075039.0,25.5,2.5,-0.77462530136108398
1582075039.0,25.5,2.5,-0.77407217025756836
1582075039.0,25.5,2.5,-0.77366113662719727
1582075039.0,25.5,2.5,-0.773468017578125
1582075039.0,25.5,2.5,-0.77297306060791016
1582075039.0,25.5,2.5,-0.77342319488525391
1582075039.0,25.5,2.5,-0.77257680892944336
1582075039.0,25.5,2.5,-0.77289819717407227
1582075040.0,25.5,2.5,-0.77275943756103516
1582075040.0,25.5,2.5,-0.7727813720703125
1582075040.0,25.5,2.5,-0.77281332015991211
1582075040.0,25.5,2.5,-0.77201366424560547
1582075040.0,25.5,2.5,-0.77176523208618164
1582075040.0,25.5,2.5,-0.77112531661987305
1582075040.0,25.5,2.5,-0.77138710021972656
1582075040.0,25.5,2.5,-0.77145624160766602
1582075040.0,25.5,2.5,-0.77156448364257812
1582075040.0,25.5,2.5,-0.77180337905883789
1582075040.0,25.5,2.5,-0.77181768417358398
1582075040.0,25.5,2.5,-0.77209043502807617
1582075040.0,25.5,2.5,-0.7708439826965332
1582075040.0,25.5,2.5,-0.77048873901367188
1582075040.0,25.5,2.5,-0.770050048828125
1582075040.0,25.5,2.5,-0.77044200897216797
1582075040.0,25.5,2.5,-0.7704777717590332
1582075040.0,25.5,2.5,-0.77061080932617188
1582075040.0,25.5,2.5,-0.7710728645324707
1582075040.0,25.5,2.5,-0.77116155624389648
1582075040.0,25.5,2.5,-0.77190017700195312
1582075040.0,25.5,2.5,-0.77172994613647461
1582075040.0,25.5,2.5,-0.77092504501342773
1582075040.0,25.5,2.5,-0.77036666870117188
1582075041.0,25.5,2.5,-0.77140617370605469
1582075041.0,25.5,2.5,-0.77236366271972656
1582075041.0,25.5,2.5,-0.77098608016967773
1582075041.0,25.5,2.5,-0.77029609680175781
1582075041.0,25.5,2.5,-0.76861715316772461
1582075041.0,25.5,2.5,-0.76899194717407227
1582075041.0,25.5,2.5,-0.76924991607666016
1582075041.0,25.5,2.5,-0.76974678039550781
1582075041.0,25.5,2.5,-0.76877164840698242
1582075041.0,25.5,2.5,-0.76958179473876953
1582075041.0,25.5,2.5,-0.76768922805786133
1582075041.0,25.5,2.5,-0.76730537414550781
1582075041.0,25.5,2.5,-0.76704549789428711
1582075041.0,25.5,2.5,-0.76582098007202148
1582075042.0,25.5,2.5,-0.76663923263549805
1582075042.0,25.5,2.5,-0.76647186279296875
1582075042.0,25.5,2.5,-0.76479816436767578
1582075042.0,25.5,2.5,-0.76384544372558594
1582075042.0,25.5,2.5,-0.76439523696899414
1582075042.0,25.5,2.5,-0.76672887802124023
1582075042.0,25.5,2.5,-0.76697349548339844
1582075042.0,25.5,2.5,-0.76614141464233398
1582075042.0,25.5,2.5,-0.76568365097045898
1582075042.0,25.5,2.5,-0.76619529724121094
1582075042.0,25.5,2.5,-0.76650667190551758
1582075042.0,25.5,2.5,-0.76741361618041992
1582075042.0,25.5,2.5,-0.76842355728149414
1582075042.0,25.5,2.5,-0.76819801330566406
1582075043.0,25.5,2.5,-0.76804780960083008
1582075043.0,25.5,2.5,-0.76660728454589844
1582075043.0,25.5,2.5,-0.76716232299804688
1582075043.0,25.5,2.5,-0.76767444610595703
1582075043.0,25.5,2.5,-0.76722812652587891
1582075043.0,25.5,2.5,-0.76707839965820312
1582075043.0,25.5,2.5,-0.76683187484741211
1582075043.0,25.5,2.5,-0.76685619354248047
1582075043.0,25.5,2.5,-0.76811504364013672
1582075043.0,25.5,2.5,-0.76632165908813477
1582075043.0,25.5,2.5,-0.76607131958007812
1582075043.0,25.5,2.5,-0.76488304138183594
1582075043.0,25.5,2.5,-0.76384258270263672
1582075043.0,25.5,2.5,-0.76368141174316406
1582075043.0,25.5,2.5,-0.76441526412963867
1582075043.0,25.5,2.5,-0.76558494567871094
1582075043.0,25.5,2.5,-0.76569223403930664
1582075044.0,25.5,2.5,-0.76510381698608398
1582075044.0,25.5,2.5,-0.76335239410400391
1582075044.0,25.5,2.5,-0.76244544982910156
1582075044.0,25.5,2.5,-0.76314353942871094
1582075044.0,25.5,2.5,-0.76238107681274414
1582075044.0,25.5,2.5,-0.76254796981811523
1582075044.0,25.5,2.5,-0.76295280456542969
1582075044.0,25.5,2.5,-0.76412534713745117
1582075044.0,25.5,2.5,-0.76502656936645508
1582075044.0,25.5,2.5,-0.76453781127929688
1582075044.0,25.5,2.5,-0.76299428939819336
1582075044.0,25.5,2.5,-0.76170778274536133
1582075044.0,25.5,2.5,-0.76234865188598633
1582075044.0,25.5,2.5,-0.76248502731323242
1582075044.0,25.5,2.5,-0.76380634307861328
1582075044.0,25.5,2.5,-0.76435184478759766
1582075044.0,25.5,2.5,-0.76388168334960938
1582075044.0,25.5,2.5,-0.76342296600341797
1582075044.0,25.5,2.5,-0.76297426223754883
1582075044.0,25.5,2.5,-0.76255655288696289
1582075044.0,25.5,2.5,-0.76208400726318359
1582075044.0,25.5,2.5,-0.76233768463134766
1582075044.0,25.5,2.5,-0.76237344741821289
1582075044.0,25.5,2.5,-0.7628941535949707
1582075044.0,25.5,2.5,-0.76281881332397461
1582075044.0,25.5,2.5,-0.76302814483642578
1582075044.0,25.5,2.5,-0.76302051544189453
1582075044.0,25.5,2.5,-0.76319026947021484
1582075045.0,25.5,2.5,-0.76288652420043945
1582075045.0,25.5,2.5,-0.76337051391601562
1582075045.0,25.5,2.5,-0.76343631744384766
1582075045.0,25.5,2.5,-0.76327848434448242
1582075045.0,25.5,2.5,-0.76341724395751953
1582075045.0,25.5,2.5,-0.76321220397949219
1582075045.0,25.5,2.5,-0.76350259780883789
1582075045.0,25.5,2.5,-0.76322364807128906
1582075045.0,25.5,2.5,-0.76380014419555664
1582075045.0,25.5,2.5,-0.76414871215820312
1582075045.0,25.5,2.5,-0.76375865936279297
1582075045.0,25.5,2.5,-0.76321744918823242
1582075045.0,25.5,2.5,-0.76301288604736328
1582075045.0,25.5,2.5,-0.76280355453491211
1582075045.0,25.5,2.5,-0.76221656799316406
1582075045.0,25.5,2.5,-0.76256942749023438
1582075045.0,25.5,2.5,-0.76261281967163086
1582075045.0,25.5,2.5,-0.76279592514038086
1582075045.0,25.5,2.5,-0.76251029968261719
1582075045.0,25.5,2.5,-0.76230859756469727
1582075045.0,25.5,2.5,-0.76217508316040039
1582075045.0,25.5,2.5,-0.76250267028808594
1582075045.0,25.5,2.5,-0.76233768463134766
1582075045.0,25.5,2.5,-0.76231479644775391
1582075045.0,25.5,2.5,-0.7619175910949707
1582075045.0,25.5,2.5,-0.76211977005004883
1582075045.0,25.5,2.5,-0.76181364059448242
1582075045.0,25.5,2.5,-0.76183366775512695
1582075045.0,25.5,2.5,-0.76189756393432617
1582075045.0,25.5,2.5,-0.76243448257446289
1582075045.0,25.5,2.5,-0.76275444030761719
1582075045.0,25.5,2.5,-0.76283597946166992
1582075045.0,25.5,2.5,-0.76297140121459961
1582075045.0,25.5,2.5,-0.76254701614379883
1582075045.0,25.5,2.5,-0.7619481086730957
1582075045.0,25.5,2.5,-0.76092815399169922
1582075045.0,25.5,2.5,-0.76093530654907227
1582075045.0,25.5,2.5,-0.76079893112182617
1582075045.0,25.5,2.5,-0.7617793083190918
1582075046.0,25.5,2.5,-0.76211309432983398
1582075046.0,25.5,2.5,-0.7622833251953125
1582075046.0,25.5,2.5,-0.76150989532470703
1582075046.0,25.5,2.5,-0.76166868209838867
1582075046.0,25.5,2.5,-0.76189851760864258
1582075046.0,25.5,2.5,-0.76210260391235352
1582075046.0,25.5,2.5,-0.76262569427490234
1582075046.0,25.5,2.5,-0.76272487640380859
1582075046.0,25.5,2.5,-0.76227331161499023
1582075046.0,25.5,2.5,-0.76205825805664062
1582075046.0,25.5,2.5,-0.76202487945556641
1582075046.0,25.5,2.5,-0.76186227798461914
1582075046.0,25.5,2.5,-0.76312589645385742
1582075046.0,25.5,2.5,-0.76356792449951172
1582075046.0,25.5,2.5,-0.76440048217773438
1582075046.0,25.5,2.5,-0.76436567306518555
1582075046.0,25.5,2.5,-0.76483821868896484
1582075046.0,25.5,2.5,-0.76429367065429688
1582075046.0,25.5,2.5,-0.7641606330871582
1582075046.0,25.5,2.5,-0.76393222808837891
1582075046.0,25.5,2.5,-0.76390790939331055
1582075046.0,25.5,2.5,-0.76360034942626953
1582075046.0,25.5,2.5,-0.76299142837524414
