Time,x,y
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737977.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
1581737978.0,4.5,22.5
