Subject,Control,Complexity,Trial,Perweek,Lifetime,Expertise,Lives,Treasure,Input,Score,Difficulty,RR_Mean,RR_Zscore,MDP_r,N_observations,Include_Input,Include_Score,Include_Difficulty,Include_RR,Include_MDP_r,Include_N_obs
Sub09,sharedergodic,low,trial3,2,5000,expert,6.0,3.0,5.0,21.0,0.0,452.196694214876,-1.0617969556549,3.0,65.0,True,True,True,True,False,True
Sub09,autoergodic,low,trial4,2,5000,expert,8.0,3.0,0.0,27.0,0.0,464.308207705193,0.237786933746243,0.0,82.0,True,True,True,True,False,True
Sub09,none,high,trial5,2,5000,expert,6.0,3.0,0.0,21.0,0.0,459.786624203822,-0.247385879516266,0.0,nan,True,True,True,True,False,True
Sub09,waypoint,high,trial6,2,5000,expert,6.0,4.0,12.0,22.0,0.0,475.751655629139,1.46568636787163,0.0,38.0,True,True,True,True,False,True
Sub09,directergodic,high,trial7,2,5000,expert,6.0,3.0,8.0,21.0,0.0,479.37,1.85394024336257,0.0,47.0,True,True,True,True,False,True
Sub09,sharedergodic,high,trial8,2,5000,expert,6.0,3.0,9.0,21.0,0.0,449.642969984202,-1.33581546463897,0.0,72.0,True,True,True,True,False,True
Sub09,autoergodic,high,trial9,2,5000,expert,6.0,3.0,0.0,21.0,0.0,455.453396524487,-0.712347825492169,3.0,90.0,True,True,True,True,False,True
Sub11,none,low,trial0,4,5772,expert,5.0,3.0,0.0,18.0,5.0,846.958944281525,1.2288054247192,6.0,nan,True,True,True,True,False,True
Sub11,waypoint,low,trial1,4,5772,expert,6.0,3.0,25.0,21.0,6.0,713.259259259259,-1.91773722557861,15.0,33.0,True,True,True,True,False,True
Sub11,directergodic,low,trial2,4,5772,expert,7.0,2.0,13.0,23.0,7.0,805.158774373259,0.245063261196894,0.0,60.0,True,True,True,True,False,True
Sub11,sharedergodic,low,trial3,4,5772,expert,8.0,5.0,18.0,29.0,8.0,812.501408450704,0.417867791636618,12.0,71.0,True,True,True,True,False,True
Sub11,autoergodic,low,trial4,4,5772,expert,6.0,4.0,0.0,22.0,7.0,805.055710306407,0.242637709618295,9.0,84.0,True,True,True,True,False,True
Sub11,none,high,trial5,4,5772,expert,5.0,3.0,0.0,18.0,3.5,757.58530183727,-0.874550149502846,9.0,nan,True,True,True,True,False,True
Sub11,waypoint,high,trial6,4,5772,expert,7.0,3.0,13.0,24.0,7.0,841.743440233236,1.10606163569674,6.0,31.0,True,True,True,True,False,True
Sub11,directergodic,high,trial7,4,5772,expert,8.0,3.0,30.0,27.0,7.0,734.234096692112,-1.42410688864444,0.0,68.0,True,True,True,True,False,True
Sub11,sharedergodic,high,trial8,4,5772,expert,8.0,4.0,19.0,28.0,8.0,810.613445378151,0.373435702443693,0.0,83.0,True,True,True,True,False,True
Sub11,autoergodic,high,trial9,4,5772,expert,8.0,3.0,0.0,27.0,7.0,820.347578347578,0.602522738414432,nan,77.0,True,True,True,True,False,True
Sub13,none,low,trial0,8,1000,expert,5.0,2.0,0.0,17.0,6.0,870.795180722892,1.77702419943949,12.0,nan,True,True,True,True,True,True
Sub13,waypoint,low,trial1,8,1000,expert,6.0,2.0,14.0,20.0,8.0,822.396011396011,-0.811977300443954,6.0,38.0,True,True,True,True,True,True
Sub13,directergodic,low,trial2,8,1000,expert,5.0,3.0,8.0,18.0,9.0,851.616519174041,0.751106106085902,3.0,64.0,True,True,True,True,True,True
Sub13,sharedergodic,low,trial3,8,1000,expert,8.0,2.0,3.0,26.0,10.0,849.767647058824,0.652204973153999,3.0,81.0,True,True,True,True,True,True
Sub13,autoergodic,low,trial4,8,1000,expert,6.0,3.0,0.0,21.0,5.0,832.14409221902,-0.290526287487456,3.0,63.0,True,True,True,True,True,True
Sub13,none,high,trial5,8,1000,expert,6.0,4.0,0.0,22.0,6.0,825.833810888252,-0.628080176474791,3.0,nan,True,True,True,True,True,True
Sub13,waypoint,high,trial6,8,1000,expert,7.0,2.0,8.0,23.0,7.0,797.886740331492,-2.12304400736468,0.0,37.0,True,True,True,True,True,True
Sub13,directergodic,high,trial7,8,1000,expert,7.0,3.0,6.0,24.0,9.0,842.504373177843,0.263672954248457,0.0,50.0,True,True,True,True,True,True
Sub13,sharedergodic,high,trial8,8,1000,expert,8.0,3.0,4.0,27.0,10.0,844.46783625731,0.368703865489398,0.0,81.0,True,True,True,True,True,True
Sub13,autoergodic,high,trial9,8,1000,expert,8.0,3.0,0.0,27.0,10.0,838.34011627907,0.040915673353659,0.0,86.0,True,True,True,True,True,True
Sub14,none,low,trial0,8,6000,expert,8.0,3.0,0.0,27.0,7.0,745.165374677003,-0.859454926161529,0.0,nan,True,True,True,True,True,True
Sub14,waypoint,low,trial1,8,6000,expert,8.0,2.0,4.0,26.0,4.0,721.465,-1.8380105373108,0.0,39.0,True,True,True,True,True,True
Sub14,directergodic,low,trial2,8,6000,expert,7.0,3.0,1.0,24.0,7.0,785.067934782609,0.788066457897048,3.0,83.0,True,True,True,True,True,True
Sub14,sharedergodic,low,trial3,8,6000,expert,8.0,1.0,1.0,25.0,9.0,771.757333333333,0.238490178472279,3.0,70.0,True,True,True,True,True,True
Sub14,autoergodic,low,trial4,8,6000,expert,8.0,3.0,0.0,27.0,7.0,796.690607734807,1.26795050989738,0.0,83.0,True,True,True,True,True,True
Sub14,none,high,trial5,8,6000,expert,6.0,3.0,0.0,21.0,8.0,792.235616438356,1.08401009586701,15.0,nan,True,True,True,True,True,True
Sub14,waypoint,high,trial6,8,6000,expert,7.0,2.0,3.0,23.0,8.0,755.426701570681,-0.435778965486144,0.0,34.0,True,True,True,True,True,True
Sub14,directergodic,high,trial7,8,6000,expert,8.0,3.0,5.0,27.0,9.0,778.091397849462,0.500014920511652,0.0,51.0,True,True,True,True,True,True
Sub14,sharedergodic,high,trial8,8,6000,expert,8.0,3.0,3.0,27.0,9.0,779.316216216216,0.550585972731708,3.0,70.0,True,True,True,True,True,True
Sub14,autoergodic,high,trial9,8,6000,expert,8.0,2.0,0.0,26.0,10.0,734.595419847328,-1.29587370641856,0.0,71.0,True,True,True,True,True,True
Sub15,none,low,trial0,2,3952,expert,8.0,2.0,0.0,26.0,9.0,625.5,-1.48073145747945,0.0,nan,False,True,False,False,False,False
Sub15,waypoint,low,trial1,2,3952,expert,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,True,False,False,False,False
Sub15,directergodic,low,trial2,2,3952,expert,7.0,3.0,8.0,24.0,8.0,646.926174496644,0.566370039272473,0.0,40.0,False,True,False,False,False,False
Sub15,sharedergodic,low,trial3,2,3952,expert,8.0,2.0,6.0,26.0,9.0,655.083900226757,1.34577620694004,0.0,73.0,False,True,False,False,False,False
Sub15,autoergodic,low,trial4,2,3952,expert,8.0,4.0,0.0,28.0,10.0,645.55504587156,0.435369544476267,3.0,74.0,False,True,False,False,False,False
Sub15,none,high,trial5,2,3952,expert,8.0,2.0,0.0,26.0,8.0,629.543668122271,-1.09439095293605,3.0,nan,False,True,False,False,False,False
Sub15,waypoint,high,trial6,2,3952,expert,8.0,2.0,9.0,26.0,8.0,653.036866359447,1.15019831251333,0.0,34.0,False,True,False,False,False,False
Sub15,directergodic,high,trial7,2,3952,expert,8.0,2.0,11.0,26.0,7.0,626.754880694143,-1.36083753298874,3.0,47.0,False,True,False,False,False,False
Sub15,sharedergodic,high,trial8,2,3952,expert,8.0,2.0,9.0,26.0,8.0,644.269141531322,0.312511555991596,3.0,70.0,False,True,False,False,False,False
Sub15,autoergodic,high,trial9,2,3952,expert,8.0,2.0,0.0,26.0,7.0,642.314220183486,0.125734284210548,0.0,83.0,False,True,False,False,False,False
Sub17,none,low,trial0,4,15000,expert,7.0,2.0,0.0,23.0,2.0,625.175925925926,-0.381503889724137,0.0,nan,True,True,True,False,True,True
Sub17,waypoint,low,trial1,4,15000,expert,6.0,2.0,13.0,20.0,8.0,660.348039215686,1.34901636235861,3.0,32.0,True,True,True,False,True,True
Sub17,directergodic,low,trial2,4,15000,expert,7.0,3.0,13.0,24.0,6.0,590.345733041576,-2.09520114964581,6.0,60.0,True,True,True,False,True,True
Sub17,sharedergodic,low,trial3,4,15000,expert,8.0,3.0,17.0,27.0,3.0,615.545662100457,-0.855327183922566,0.0,63.0,True,True,True,False,True,True
Sub17,autoergodic,low,trial4,4,15000,expert,8.0,3.0,0.0,27.0,8.0,645.311004784689,0.609171917990742,3.0,75.0,True,True,True,False,True,True
