Subject,Control,Complexity,Trial,Skill,Perweek,Lifetime,Expertise,Alllow,Allhigh,RR
Sub20,directergodic,low,trial2,0,2.5,2000,expert,1,1,871.5963855421687
Sub20,sharedergodic,low,trial3,0,2.5,2000,expert,1,1,876.6808510638298
Sub20,autoergodic,low,trial4,0,2.5,2000,expert,1,1,887.68
Sub20,none,high,trial5,0,2.5,2000,expert,1,1,906.2382445141066
Sub20,waypoint,high,trial6,0,2.5,2000,expert,1,1,847.1524926686218
Sub20,directergodic,high,trial7,0,2.5,2000,expert,1,1,949.078947368421
Sub20,sharedergodic,high,trial8,0,2.5,2000,expert,1,1,888.1415384615385
Sub20,autoergodic,high,trial9,0,2.5,2000,expert,1,1,877.1155015197569
Sub21,none,low,trial0,0,0,1200,expert,1,1,969.5805369127517
Sub21,waypoint,low,trial1,0,0,1200,expert,1,1,949.5032894736843
Sub21,directergodic,low,trial2,0,0,1200,expert,1,1,1001.3576388888887
Sub21,sharedergodic,low,trial3,0,0,1200,expert,1,1,969.8047138047141
Sub21,autoergodic,low,trial4,0,0,1200,expert,1,1,988.308219178082
Sub21,none,high,trial5,0,0,1200,expert,1,1,967.4328859060404
Sub21,waypoint,high,trial6,0,0,1200,expert,1,1,957.5116279069767
Sub21,directergodic,high,trial7,0,0,1200,expert,1,1,961.5333333333333
Sub21,sharedergodic,high,trial8,0,0,1200,expert,1,1,1026.163120567376
Sub21,autoergodic,high,trial9,0,0,1200,expert,1,1,959.3023255813954
Sub22,none,low,trial0,0,0,5200,expert,1,1,829.3764367816092
Sub22,waypoint,low,trial1,0,0,5200,expert,1,1,827.9570200573066
Sub22,directergodic,low,trial2,0,0,5200,expert,1,1,847.2668621700881
Sub22,sharedergodic,low,trial3,0,0,5200,expert,1,1,891.6130030959752
Sub22,autoergodic,low,trial4,0,0,5200,expert,1,1,831.2672413793103
Sub22,none,high,trial5,0,0,5200,expert,1,1,814.2457627118644
Sub22,waypoint,high,trial6,0,0,5200,expert,1,1,834.0028818443805
Sub22,directergodic,high,trial7,0,0,5200,expert,1,1,890.7191358024692
Sub22,sharedergodic,high,trial8,0,0,5200,expert,1,1,853.387573964497
Sub22,autoergodic,high,trial9,0,0,5200,expert,1,1,793.9175824175824
Sub24,none,low,trial0,0,0,2000,expert,1,1,667.5034642032333
Sub24,waypoint,low,trial1,0,0,2000,expert,1,1,716.1191066997519
Sub24,directergodic,low,trial2,0,0,2000,expert,1,1,776.1935483870967
Sub24,sharedergodic,low,trial3,0,0,2000,expert,1,1,735.2748091603054
Sub24,autoergodic,low,trial4,0,0,2000,expert,1,1,669.7633410672854
Sub24,none,high,trial5,0,0,2000,expert,1,1,690.219570405728
Sub24,waypoint,high,trial6,0,0,2000,expert,1,1,746.0595854922279
Sub24,directergodic,high,trial7,0,0,2000,expert,1,1,720.3142144638404
Sub24,sharedergodic,high,trial8,0,0,2000,expert,1,1,711.8172839506173
Sub24,autoergodic,high,trial9,0,0,2000,expert,1,1,785.4223433242508
Sub25,none,low,trial0,0,0,1500,expert,1,1,917.7738853503184
Sub25,waypoint,low,trial1,0,0,1500,expert,1,1,860.0358208955223
Sub25,directergodic,low,trial2,0,0,1500,expert,1,1,868.8524096385543
Sub25,sharedergodic,low,trial3,0,0,1500,expert,1,1,835.7427745664738
Sub25,autoergodic,low,trial4,0,0,1500,expert,1,1,869.3945783132531
Sub25,none,high,trial5,0,0,1500,expert,1,1,888.6153846153846
Sub25,waypoint,high,trial6,0,0,1500,expert,1,1,831.8876080691642
Sub25,directergodic,high,trial7,0,0,1500,expert,1,1,915.663492063492
