Time,x,y,theta
0.0,17.5,24.5,0.37968403100967407
0.0,17.5,24.5,0.39167603850364685
0.0,17.5,24.5,0.38943484425544739
0.0,17.5,24.5,0.38890534639358521
0.0,17.5,24.5,0.38836461305618286
0.0,17.5,24.5,0.39228329062461853
0.0,17.5,24.5,0.39298820495605469
0.0,17.5,24.5,0.39518818259239197
0.0,17.5,24.5,0.39786183834075928
0.0,17.5,24.5,0.40531015396118164
1.0,17.5,24.5,0.40924379229545593
1.0,17.5,24.5,0.41093185544013977
1.0,17.5,24.5,0.41229799389839172
1.0,17.5,24.5,0.41228434443473816
1.0,17.5,24.5,0.41080230474472046
1.0,17.5,24.5,0.40830463171005249
1.0,17.5,24.5,0.40460234880447388
1.0,17.5,24.5,0.40043684840202332
1.0,17.5,24.5,0.3818742036819458
1.0,17.5,24.5,0.35666599869728088
1.0,17.5,24.5,0.31853470206260681
1.0,17.5,24.5,0.29689440131187439
1.0,17.5,24.5,0.26294443011283875
1.0,17.5,24.5,0.19104620814323425
1.0,17.5,24.5,0.15463308990001678
1.0,17.5,24.5,0.1163356751203537
1.0,17.5,24.5,0.082568377256393433
1.0,17.5,24.5,0.050521258264780045
1.0,17.5,24.5,0.020128251984715462
1.0,17.5,24.5,-0.0091991424560546875
1.0,17.5,24.5,-0.04168701171875
1.0,17.5,24.5,-0.081205368041992188
1.0,17.5,24.5,-0.11616992950439453
1.0,17.5,24.5,-0.15350246429443359
1.0,17.5,24.5,-0.1889643669128418
1.0,17.5,24.5,-0.21668291091918945
1.0,17.5,24.5,-0.24017572402954102
1.0,17.5,24.5,-0.26015758514404297
1.0,17.5,24.5,-0.27811002731323242
1.0,17.5,24.5,-0.29283571243286133
1.0,17.5,24.5,-0.30952167510986328
2.0,17.5,24.5,-0.32308578491210938
2.0,17.5,24.5,-0.33694219589233398
2.0,17.5,24.5,-0.34990358352661133
2.0,17.5,24.5,-0.36192464828491211
2.0,17.5,24.5,-0.37086009979248047
2.0,17.5,24.5,-0.38442373275756836
2.0,17.5,24.5,-0.39591360092163086
2.0,17.5,24.5,-0.38869762420654297
2.0,17.4962158203125,24.509237289428711,-0.38633441925048828
2.0,17.48982048034668,24.524959564208984,-0.39062023162841797
2.0,17.483436584472656,24.540464401245117,-0.3983306884765625
2.0,17.47529411315918,24.559812545776367,-0.40235090255737305
