Time,x,y
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897605.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
1581897606.0,21.5,2.5
