Time,x,y,theta
1582059907.0,12.5,26.5,-0.39341402053833008
1582059907.0,12.5,26.5,-0.40153121948242188
1582059907.0,12.5,26.5,-0.41639947891235352
1582059907.0,12.5,26.5,-0.43606996536254883
1582059907.0,12.5,26.5,-0.45421314239501953
1582059907.0,12.5,26.5,-0.46762847900390625
1582059907.0,12.5,26.5,-0.47928094863891602
1582059908.0,12.5,26.5,-0.48822879791259766
1582059908.0,12.5,26.5,-0.50528192520141602
1582059908.0,12.5,26.5,-0.52963590621948242
1582059908.0,12.5,26.5,-0.54522180557250977
1582059908.0,12.5,26.5,-0.55359840393066406
1582059908.0,12.5,26.5,-0.55547761917114258
1582059908.0,12.5,26.5,-0.55176877975463867
1582059908.0,12.5,26.5,-0.54407930374145508
1582059908.0,12.5,26.5,-0.53394603729248047
1582059908.0,12.5,26.5,-0.52494668960571289
1582059908.0,12.5,26.5,-0.52192783355712891
1582059908.0,12.5,26.5,-0.51885128021240234
1582059908.0,12.5,26.5,-0.51603937149047852
1582059908.0,12.5,26.5,-0.51614522933959961
1582059908.0,12.5,26.5,-0.51252031326293945
1582059908.0,12.5,26.5,-0.50778484344482422
1582059908.0,12.5,26.5,-0.50457191467285156
1582059908.0,12.5,26.5,-0.50502872467041016
1582059908.0,12.5,26.5,-0.50043058395385742
1582059908.0,12.5,26.5,-0.49515104293823242
1582059908.0,12.5,26.5,-0.49037408828735352
1582059908.0,12.5,26.5,-0.48541641235351562
1582059908.0,12.5,26.5,-0.48476600646972656
1582059908.0,12.5,26.5,-0.48340940475463867
1582059908.0,12.5,26.5,-0.47862148284912109
1582059908.0,12.5,26.5,-0.4745030403137207
1582059908.0,12.5,26.5,-0.47020483016967773
1582059908.0,12.5,26.5,-0.46530246734619141
1582059908.0,12.5,26.5,-0.46331691741943359
1582059908.0,12.5,26.5,-0.47392368316650391
1582059908.0,12.5,26.5,-0.47602367401123047
1582059908.0,12.5,26.5,-0.47717666625976562
1582059908.0,12.5,26.5,-0.47428274154663086
1582059908.0,12.5,26.5,-0.47258138656616211
1582059908.0,12.5,26.5,-0.47042655944824219
1582059908.0,12.5,26.5,-0.46343612670898438
1582059909.0,12.5,26.5,-0.46922540664672852
1582059909.0,12.5,26.5,-0.47578096389770508
1582059909.0,12.5,26.5,-0.47719669342041016
1582059909.0,12.5,26.5,-0.48181343078613281
1582059909.0,12.5,26.5,-0.48129940032958984
1582059909.0,12.5,26.5,-0.47287225723266602
1582059909.0,12.5,26.5,-0.46796798706054688
1582059909.0,12.5,26.5,-0.45624303817749023
1582059909.0,12.5,26.5,-0.44210720062255859
1582059909.0,12.5,26.5,-0.43261051177978516
1582059909.0,12.5,26.5,-0.42740821838378906
1582059909.0,12.5,26.5,-0.42709541320800781
1582059909.0,12.5,26.5,-0.42243671417236328
1582059909.0,12.5,26.5,-0.41986322402954102
1582059909.0,12.5,26.5,-0.40888214111328125
1582059909.0,12.5,26.5,-0.40122032165527344
1582059909.0,12.5,26.5,-0.3973236083984375
1582059909.0,12.5,26.5,-0.38950872421264648
1582059909.0,12.5,26.5,-0.39065456390380859
1582059909.0,12.5,26.5,-0.38930225372314453
1582059909.0,12.5,26.5,-0.38947248458862305
1582059909.0,12.5,26.5,-0.40003538131713867
1582059909.0,12.5,26.5,-0.40909337997436523
1582059909.0,12.5,26.5,-0.41098451614379883
1582059909.0,12.5,26.5,-0.41140937805175781
1582059909.0,12.5,26.5,-0.41024637222290039
1582059909.0,12.5,26.5,-0.40614557266235352
1582059909.0,12.5,26.5,-0.3980555534362793
1582059909.0,12.5,26.5,-0.39089250564575195
1582059909.0,12.5,26.5,-0.38017892837524414
1582059909.0,12.5,26.5,-0.37483119964599609
1582059909.0,12.5,26.5,-0.37064933776855469
1582059909.0,12.5,26.5,-0.36374187469482422
1582059909.0,12.5,26.5,-0.35408687591552734
1582059909.0,12.5,26.5,-0.34956741333007812
1582059909.0,12.5,26.5,-0.34659433364868164
1582059909.0,12.5,26.5,-0.34205436706542969
1582059909.0,12.5,26.5,-0.33478641510009766
1582059909.0,12.5,26.5,-0.33398771286010742
1582059909.0,12.5,26.5,-0.33472299575805664
1582059909.0,12.5,26.5,-0.33792972564697266
1582059909.0,12.5,26.5,-0.34152317047119141
1582059909.0,12.5,26.5,-0.34174251556396484
1582059910.0,12.5,26.5,-0.34090566635131836
1582059910.0,12.5,26.5,-0.34045267105102539
1582059910.0,12.5,26.5,-0.3441014289855957
1582059910.0,12.5,26.5,-0.3489222526550293
1582059910.0,12.5,26.5,-0.35101938247680664
