Time,x,y
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728458.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728459.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
1581728460.0,27.5,20.5
