Time,id,x,y
1581800842.0,2.0,0.0,0.0
1581800842.0,3.0,0.0,0.0
1581800842.0,4.0,0.0,0.0
1581800842.0,6.0,0.0,0.0
1581800842.0,5.0,0.0,0.0
1581800855.0,5.0,17.5,16.5
1581800855.0,5.0,17.5,16.5
1581800855.0,5.0,17.5,16.5
1581800855.0,5.0,17.5,16.5
1581800855.0,5.0,17.5,16.5
1581800855.0,5.0,17.5,16.5
1581800855.0,5.0,17.5,16.5
1581800855.0,5.0,17.5,16.5
1581800856.0,5.0,17.5,16.5
1581800856.0,5.0,17.5,16.5
1581800856.0,5.0,17.5,16.5
1581800856.0,5.0,17.5,16.5
1581800856.0,5.0,17.5,16.5
1581800856.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800857.0,5.0,17.5,16.5
1581800862.0,5.0,17.5,16.5
1581800862.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
1581800863.0,5.0,17.5,16.5
