Time,x,y,theta
1582066415.0,3.5,22.5,-0.49244165420532227
1582066415.0,3.5,22.5,-0.4925847053527832
1582066416.0,3.5,22.5,-0.49273347854614258
1582066416.0,3.5,22.5,-0.4929051399230957
1582066416.0,3.5,22.5,-0.49250459671020508
1582066416.0,3.5,22.5,-0.4924163818359375
1582066416.0,3.5,22.5,-0.49205541610717773
1582066416.0,3.5,22.5,-0.49086284637451172
1582066416.0,3.5,22.5,-0.48908329010009766
1582066416.0,3.5,22.5,-0.48662042617797852
1582066416.0,3.5,22.5,-0.48424196243286133
1582066416.0,3.5,22.5,-0.48276376724243164
1582066416.0,3.5,22.5,-0.48192787170410156
1582066416.0,3.5,22.5,-0.48186159133911133
1582066416.0,3.5,22.5,-0.48270893096923828
1582066416.0,3.5,22.5,-0.48378610610961914
1582066416.0,3.5,22.5,-0.48394441604614258
1582066416.0,3.5,22.5,-0.48296213150024414
1582066416.0,3.5,22.5,-0.48300886154174805
1582066416.0,3.5,22.5,-0.48211431503295898
1582066416.0,3.5,22.5,-0.48194789886474609
1582066416.0,3.5,22.5,-0.48283147811889648
1582066416.0,3.5,22.5,-0.48387622833251953
1582066416.0,3.5,22.5,-0.48544025421142578
1582066416.0,3.5,22.5,-0.48731517791748047
1582066416.0,3.5,22.5,-0.48846864700317383
1582066416.0,3.5,22.5,-0.4890589714050293
1582066416.0,3.5,22.5,-0.48910427093505859
1582066416.0,3.5,22.5,-0.48900365829467773
1582066416.0,3.5,22.5,-0.4886932373046875
1582066416.0,3.5,22.5,-0.48794937133789062
1582066416.0,3.5,22.5,-0.48771905899047852
1582066417.0,3.5,22.5,-0.4873499870300293
1582066417.0,3.5,22.5,-0.48795557022094727
1582066417.0,3.5,22.5,-0.48812770843505859
1582066417.0,3.5,22.5,-0.48873186111450195
1582066417.0,3.5,22.5,-0.48909711837768555
1582066417.0,3.5,22.5,-0.48891019821166992
1582066417.0,3.5,22.5,-0.48913192749023438
1582066417.0,3.5,22.5,-0.48869419097900391
1582066417.0,3.5,22.5,-0.48620700836181641
1582066417.0,3.5,22.5,-0.48512506484985352
1582066417.0,3.5,22.5,-0.48398399353027344
1582066417.0,3.5,22.5,-0.48275423049926758
1582066417.0,3.5,22.5,-0.48269796371459961
1582066417.0,3.5,22.5,-0.48258256912231445
1582066417.0,3.5,22.5,-0.48305225372314453
1582066417.0,3.5,22.5,-0.48300933837890625
1582066417.0,3.5,22.5,-0.48320627212524414
1582066417.0,3.5,22.5,-0.48361539840698242
1582066417.0,3.5,22.5,-0.48360109329223633
1582066417.0,3.5,22.5,-0.48437976837158203
1582066417.0,3.5,22.5,-0.48407745361328125
1582066417.0,3.5,22.5,-0.48182964324951172
1582066417.0,3.5,22.5,-0.48064327239990234
1582066417.0,3.5,22.5,-0.48048305511474609
1582066417.0,3.5,22.5,-0.48050928115844727
1582066417.0,3.5,22.5,-0.48014354705810547
1582066417.0,3.5,22.5,-0.47898483276367188
1582066417.0,3.5,22.5,-0.47750091552734375
1582066417.0,3.5,22.5,-0.47636842727661133
1582066417.0,3.5,22.5,-0.4756312370300293
1582066418.0,3.5,22.5,-0.47526884078979492
1582066418.0,3.5,22.5,-0.4755711555480957
1582066418.0,3.5,22.5,-0.47420692443847656
1582066418.0,3.5,22.5,-0.46980619430541992
1582066418.0,3.5,22.5,-0.46615934371948242
1582066418.0,3.5,22.5,-0.46288108825683594
1582066418.0,3.5,22.5,-0.45902776718139648
1582066418.0,3.5,22.5,-0.45434045791625977
1582066418.0,3.5,22.5,-0.4508671760559082
1582066418.0,3.5,22.5,-0.44254398345947266
1582066418.0,3.5,22.5,-0.44095706939697266
1582066418.0,3.5,22.5,-0.44138765335083008
1582066418.0,3.5,22.5,-0.44025611877441406
1582066418.0,3.5,22.5,-0.44111537933349609
1582066418.0,3.5,22.5,-0.44500732421875
1582066418.0,3.5,22.5,-0.44656896591186523
1582066418.0,3.5,22.5,-0.4472508430480957
1582066418.0,3.5,22.5,-0.44721460342407227
1582066418.0,3.5,22.5,-0.44880771636962891
1582066419.0,3.5,22.5,-0.4479374885559082
1582066419.0,3.5,22.5,-0.44706249237060547
1582066419.0,3.5,22.5,-0.44662714004516602
1582066419.0,3.5,22.5,-0.44734859466552734
1582066419.0,3.5,22.5,-0.44745349884033203
1582066419.0,3.5,22.5,-0.44705915451049805
1582066419.0,3.5,22.5,-0.44922971725463867
1582066419.0,3.5,22.5,-0.45357513427734375
1582066419.0,3.5,22.5,-0.45784282684326172
1582066419.0,3.5,22.5,-0.46115684509277344
1582066419.0,3.5,22.5,-0.4628148078918457
1582066419.0,3.5,22.5,-0.4608454704284668
1582066419.0,3.5,22.5,-0.46037149429321289
1582066419.0,3.5,22.5,-0.45799970626831055
1582066419.0,3.5,22.5,-0.45507335662841797
1582066419.0,3.5,22.5,-0.45012807846069336
1582066419.0,3.5,22.5,-0.44606685638427734
1582066419.0,3.5,22.5,-0.43218564987182617
1582066419.0,3.5,22.5,-0.41540765762329102
1582066419.0,3.5,22.5,-0.40666961669921875
1582066420.0,3.5,22.5,-0.39460229873657227
1582066420.0,3.5,22.5,-0.39326715469360352
1582066420.0,3.5,22.5,-0.3787837028503418
1582066420.0,3.5,22.5,-0.3654637336730957
1582066420.0,3.5,22.5,-0.32211494445800781
1582066420.0,3.5,22.5,-0.31813812255859375
1582066420.0,3.5,22.5,-0.33753490447998047
1582066420.0,3.5,22.5,-0.42394447326660156
1582066420.0,3.5,22.5,-0.49219560623168945
1582066420.0,3.5,22.5,-0.54195022583007812
1582066420.0,3.5,22.5,-0.54822111129760742
1582066420.0,3.5,22.5,-0.53072118759155273
1582066420.0,3.5,22.5,-0.47821855545043945
1582066420.0,3.5,22.5,-0.48217391967773438
1582066420.0,3.5,22.5,-0.49476432800292969
1582066420.0,3.5,22.5,-0.49763631820678711
1582066420.0,3.5,22.5,-0.50999832153320312
1582066420.0,3.5,22.5,-0.53081941604614258
1582066420.0,3.5,22.5,-0.53645992279052734
1582066420.0,3.5,22.5,-0.54055261611938477
1582066420.0,3.5,22.5,-0.53757953643798828
1582066421.0,3.5,22.5,-0.53461313247680664
1582066421.0,3.5,22.5,-0.5393366813659668
1582066421.0,3.5,22.5,-0.54798221588134766
