Subject,Control,Density,Expertise,Intersection_time,P_switch,norm_mean,norm_bestpath,norm_userpath
1,waypoint,low,expert,51,0,0.306537662680267,0.099996795283474,0.099996795283474
1,waypoint,low,expert,51,0,0.338645914147315,0.109173000687303,0.109173000687303
1,waypoint,low,expert,51,0,0.280215130444711,0.098053875332274,0.098053875332274
1,waypoint,low,expert,68,1,0.332546272229215,0.228845695104918,0.139842793065597
1,waypoint,low,expert,68,0,0.189778586796563,0.085878857609651,0.094632579673561
1,waypoint,low,expert,94,0,0.900556702177505,0.200162194753159,0.341221640247873
1,waypoint,low,expert,94,1,1.55488604599049,0.35556057169116,1.09163618365916
1,waypoint,low,expert,94,1,0.958216255550989,0.411476698489632,0.354970300827835
1,waypoint,low,expert,94,1,0.256923083053807,0.214354739480001,0.086794773972886
1,waypoint,low,expert,94,0,0.530202912820355,0.161906954023055,0.379954851953406
1,waypoint,low,expert,94,0,1.00401636961803,0.075373235739432,0.307553053506112
1,waypoint,low,expert,94,0,0.982617252925485,0.235469467592847,0.30532215114736
1,waypoint,low,expert,94,1,0.754573103763675,0.492131673454014,0.296770788883064
1,waypoint,low,expert,102,0,1.90051528380012,0.788418674004482,0.788418674004482
1,waypoint,low,expert,102,0,1.44543799059908,0.224028321702185,0.224028321702185
1,waypoint,low,expert,102,0,0.336421434709798,0.215432621879616,0.215432621879616
1,waypoint,low,expert,102,0,1.91565589723237,0.783578282431584,0.783578282431584
1,waypoint,low,expert,102,0,1.91891388901859,0.84867695309317,0.84867695309317
1,waypoint,low,expert,102,0,0.405755046994381,0.211963528006154,0.211963528006154
1,waypoint,low,expert,102,0,0.708551553205566,0.283609519807406,0.283609519807406
1,waypoint,low,expert,102,0,0.87797429138302,0.176035554187559,0.176035554187559
1,waypoint,low,expert,102,0,0.76689041855102,0.286034422277481,0.286034422277481
1,waypoint,low,expert,102,0,0.900851211095547,0.167517589285903,0.167517589285903
1,waypoint,low,expert,108,0,1.01965841940448,0.279188786965742,0.279188786965742
1,waypoint,low,expert,108,0,0.784463398804138,0.315876945742312,0.315876945742312
1,waypoint,low,expert,117,0,0.469238413797711,0.268632076538364,0.268632076538364
1,waypoint,low,expert,117,1,1.62802529921596,0.747730688846923,0.747730688846923
1,waypoint,low,expert,117,1,1.58640583859312,0.759517174109905,0.759517174109905
1,waypoint,low,expert,117,1,1.53502253986769,0.661351607354565,0.661351607354565
1,waypoint,low,expert,117,0,1.47954708945635,0.333567020299534,0.333567020299534
1,waypoint,low,expert,170,1,0.314154277687505,0.112680597752851,0.270035830621634
1,waypoint,low,expert,170,1,0.251948898444779,0.034755929481123,0.246993542258284
1,waypoint,low,expert,182,0,0.073155298813863,0.002618539724244,0.072328916863896
1,waypoint,low,expert,193,0,0.338985405436857,0.242059616815476,0.242059616815476
1,waypoint,low,expert,222,1,0.566576525690273,0.248340966741716,0.103789928226718
1,waypoint,low,expert,222,0,0.417423939715235,0.125855982725366,0.117590072522263
1,waypoint,low,expert,222,0,0.261983544952591,0.144563738788508,0.124580123462788
1,waypoint,low,expert,222,0,0.265760246050781,0.153302825834754,0.116738796379054
1,waypoint,low,expert,222,0,0.260267609768278,0.103758231907011,0.146410851755555
1,waypoint,low,expert,222,0,0.260789770954333,0.081390265992489,0.143197811162129
1,waypoint,low,expert,242,0,2.20111274981563,0.296314394690956,0.296314394690956
1,waypoint,low,expert,242,0,0.997869537901521,0.362780764617833,0.362780764617833
1,waypoint,low,expert,242,0,2.455677942009,0.44537599324761,0.44537599324761
1,waypoint,low,expert,242,0,1.01297896793931,0.26913183870232,0.26913183870232
1,waypoint,low,expert,242,0,1.04544070830514,0.352644630881124,0.352644630881124
1,waypoint,low,expert,242,1,2.15704994573774,0.450137029569341,0.450137029569341
1,waypoint,low,expert,242,0,0.97955695201956,0.324491233517759,0.324491233517759
1,waypoint,low,expert,242,0,1.05285931046507,0.32271648173581,0.32271648173581
1,waypoint,low,expert,242,0,0.876466497554486,0.306164827025602,0.306164827025602
1,waypoint,low,expert,242,0,0.973688391620637,0.258114322721355,0.258114322721355
1,waypoint,low,expert,242,0,1.01187001726106,0.322118115145417,0.322118115145417
1,waypoint,low,expert,242,0,1.01140369742804,0.355110970182709,0.355110970182709
1,waypoint,low,expert,242,0,1.05435746340959,0.36174408203866,0.36174408203866
1,waypoint,low,expert,242,0,0.577352275552935,0.349857863084314,0.349857863084314
1,waypoint,low,expert,242,1,0.506915866231113,0.319169853026153,0.319169853026153
1,waypoint,low,expert,263,1,0.114468746381401,0.064768735114089,0.04838675873277
1,waypoint,low,expert,263,0,0.094535758312992,0.050093307578909,0.037507284574876
1,waypoint,low,expert,263,1,1.37705068097573,0.650784550728666,0.716975591581016
1,directergodic,low,expert,12,1,0.306827055386129,0.220618513119237,0.001724115019297
1,directergodic,low,expert,12,0,0.004016715915779,0.00174350360268,0.003208150903519
1,directergodic,low,expert,24,0,0.369202882090605,0.014416581596748,0.014416581596748
1,directergodic,low,expert,24,0,0.003376348950578,0.001949416503237,0.001949416503237
1,directergodic,low,expert,24,0,0.004698611524477,0.003278769803061,0.003278769803061
1,directergodic,low,expert,57,0,1.77331557559317,0.304381742931548,0.96575885641486
1,directergodic,low,expert,87,1,0.384426822295533,0.370671907696926,0.370671907696926
1,directergodic,low,expert,128,0,0.257883750606759,0.207784589376159,0.207784589376159
1,directergodic,low,expert,128,0,0.252969343872492,0.202548710149459,0.202548710149459
1,directergodic,low,expert,128,0,0.296743715203761,0.236899505644677,0.236899505644677
1,directergodic,low,expert,132,1,3.94241745851306,1.64408915932034,1.58721133770866
1,directergodic,low,expert,132,1,4.29176117397763,1.90337800374898,1.92546106670698
1,directergodic,low,expert,149,0,1.05062125846917,0.32318504344359,0.307858848308777
1,directergodic,low,expert,149,1,0.750686211985977,0.326961870098458,0.293716248643087
1,directergodic,low,expert,149,0,0.645833615663697,0.277038765925906,0.245839181948636
1,directergodic,low,expert,149,1,0.50380735988249,0.247151234396994,0.008586927368909
1,directergodic,low,expert,149,1,4.60120837733205,3.00355649349484,2.18484527944133
1,directergodic,low,expert,149,1,0.473671734053476,0.238924286008682,0.005007163639932
1,directergodic,low,expert,149,1,4.59925377713551,3.00168132390465,2.17945962484665
1,directergodic,low,expert,149,0,1.36128796221222,0.474281098207124,0.678648553580037
1,directergodic,low,expert,149,1,4.62042873615536,3.00432546599344,2.17129303521605
1,directergodic,low,expert,149,1,4.63044923210332,3.00226392847177,2.18517318355682
1,directergodic,low,expert,149,1,4.64150453183678,3.00111692518993,2.21425565523066
1,directergodic,low,expert,149,1,4.87246228600121,3.00250812984058,2.70813558560615
1,directergodic,low,expert,149,1,4.87799393781462,3.00331860527519,2.71172989302535
1,directergodic,low,expert,154,0,1.03521681435825,0.153210755964104,0.153210755964104
1,directergodic,low,expert,154,1,1.13180461709426,1.01561995519892,1.01561995519892
1,directergodic,low,expert,154,1,0.586355378616574,0.48203385345198,0.48203385345198
1,directergodic,low,expert,154,1,0.728440069751764,0.634242252371891,0.634242252371891
1,directergodic,low,expert,164,0,4.72594190523958,0.266771778857734,3.0024368557503
1,directergodic,low,expert,164,0,0.768289724858246,0.075818285550904,0.591042997188308
1,directergodic,low,expert,164,0,4.48981766562194,0.03760965986976,2.55184621815318
1,directergodic,low,expert,164,0,1.7073645672701,0.154707976386985,1.02854143480326
1,directergodic,low,expert,164,0,0.897880119048555,0.067975289759579,0.379965411187922
1,directergodic,low,expert,164,0,0.787482058454012,0.095384202638401,0.459139759944463
1,directergodic,low,expert,164,1,1.7454250657709,1.13869292797619,0.537239876744619
1,directergodic,low,expert,164,1,1.76590579833324,1.09594514687884,0.574921721755576
1,directergodic,low,expert,173,0,0.733509274127456,0.284360002473865,0.284360002473865
1,directergodic,low,expert,173,0,0.720805735906141,0.327040660936717,0.327040660936717
1,directergodic,low,expert,173,0,0.645256450513006,0.167682759079918,0.167682759079918
1,directergodic,low,expert,173,0,1.56890434603273,0.276199086041591,0.276199086041591
1,directergodic,low,expert,173,0,1.77789766214414,0.225225379422314,0.225225379422314
1,directergodic,low,expert,173,0,1.38728639639338,0.081331739804383,0.081331739804383
1,directergodic,low,expert,179,0,0.295953543577734,0.066111176007234,0.12666940576818
1,directergodic,low,expert,179,0,0.641510805503118,0.03895478212056,0.328365305714612
1,directergodic,low,expert,179,0,0.986594429950772,0.151945967632326,0.202706236944615
1,directergodic,low,expert,179,0,0.616903526779556,0.039572620573364,0.346427514883511
1,directergodic,low,expert,210,0,0.017462115093402,0.000253891327693,0.000253891327693
