Subject,Control,Density,Lives,Treasure,Input,Difficulty,Score
30,none,low,6,3,0,10,21
30,waypoint,low,5,4,16,7,19
30,directergodic,low,8,3,7,10,27
30,sharedergodic,low,5,3,5,10,18
30,autoergodic,low,6,4,0,10,22
30,none,high,7,3,0,10,24
30,waypoint,high,8,3,9,9,27
30,directergodic,high,6,3,7,10,21
30,sharedergodic,high,5,3,7,10,18
30,autoergodic,high,8,4,0,10,28
31,none,low,8,3,0,7,27
31,waypoint,low,6,3,12,9,21
31,directergodic,low,6,2,9,8,20
31,sharedergodic,low,5,3,8,6,18
31,autoergodic,low,5,3,0,8,18
31,none,high,7,4,0,7,25
31,waypoint,high,7,3,14,8,24
31,directergodic,high,7,3,7,8,24
31,sharedergodic,high,5,4,8,9,19
31,autoergodic,high,6,4,0,8,22
32,none,low,7,3,0,6,24
32,waypoint,low,6,3,10,2,21
32,directergodic,low,7,3,15,2,24
32,sharedergodic,low,7,4,3,7,25
32,autoergodic,low,5,4,0,3,19
32,none,high,6,3,0,5,21
32,waypoint,high,8,4,18,4,28
32,directergodic,high,8,4,19,8,28
32,sharedergodic,high,7,3,20,6,24
32,autoergodic,high,8,3,0,9,27
33,none,low,6,2,0,8,20
33,waypoint,low,6,1,5,8,19
33,directergodic,low,8,1,13,9,25
33,sharedergodic,low,6,2,4,8,20
33,autoergodic,low,6,1,0,8,19
33,none,high,6,2,0,7,20
33,waypoint,high,6,1,4,10,19
33,directergodic,high,8,0,11,10,24
33,sharedergodic,high,8,2,6,9,26
33,autoergodic,high,8,2,0,10,26
34,none,low,6,4,0,6.5,22
34,waypoint,low,7,2,15,10,23
34,directergodic,low,8,4,23,9,28
34,sharedergodic,low,6,4,19,9,22
34,autoergodic,low,6,3,0,8.5,21
34,none,high,8,4,0,8,28
34,waypoint,high,7,2,17,9,23
34,sharedergodic,high,8,3,16,10,27
34,autoergodic,high,7,4,0,10,25
35,none,low,6,4,0,6,22
35,waypoint,low,8,4,12,9,28
35,directergodic,low,7,4,13,8,25
35,sharedergodic,low,8,4,11,10,28
35,autoergodic,low,7,4,0,8,25
35,none,high,6,3,0,7,21
35,waypoint,high,8,3,12,8,27
35,directergodic,high,7,3,19,10,24
35,sharedergodic,high,8,3,7,10,27
36,none,low,6,4,0,6,22
36,waypoint,low,7,3,14,9,24
36,directergodic,low,5,3,20,8,18
36,sharedergodic,low,7,3,14,9,24
36,autoergodic,low,6,3,0,10,21
36,none,high,5,2,0,10,17
36,waypoint,high,7,2,13,8,23
36,directergodic,high,6,3,19,6,21
36,sharedergodic,high,6,3,8,9,21
36,autoergodic,high,8,2,0,8,26
37,none,low,7,4,0,3,25
37,waypoint,low,6,3,16,6,21
37,directergodic,low,6,3,18,5,21
37,sharedergodic,low,8,4,11,6,28
37,autoergodic,low,7,4,0,7,25
37,none,high,7,3,0,5,24
37,waypoint,high,7,2,10,5,23
37,directergodic,high,8,4,12,4,28
37,sharedergodic,high,5,3,12,3,18
37,autoergodic,high,7,4,0,7,25
38,none,low,6,3,0,4,21
38,waypoint,low,8,2,12,7,26
38,directergodic,low,6,3,13,6,21
38,sharedergodic,low,6,3,12,5,21
38,autoergodic,low,7,3,0,8,24
38,none,high,6,1,0,3,19
38,waypoint,high,6,3,10,5,21
38,sharedergodic,high,8,2,5,8,26
38,autoergodic,high,8,2,0,9,26
39,none,low,6,2,0,9,20
39,directergodic,low,6,0,15,8,18
39,sharedergodic,low,5,2,15,10,17
39,autoergodic,low,7,2,0,10,23
39,none,high,7,1,0,10,22
39,waypoint,high,6,1,12,8,19
39,directergodic,high,7,2,21,10,23
39,sharedergodic,high,7,3,0,10,24
40,none,low,8,3,0,10,27
40,waypoint,low,8,3,5,10,27
40,directergodic,low,8,4,1,9,28
40,sharedergodic,low,7,3,3,10,24
40,autoergodic,low,7,3,0,8,24
40,none,high,8,4,0,10,28
40,waypoint,high,8,3,3,10,27
40,directergodic,high,7,3,2,10,24
40,sharedergodic,high,8,3,9,10,27
40,autoergodic,high,8,4,0,10,28
41,none,low,8,3,0,5,27
41,waypoint,low,7,3,15,9,24
41,directergodic,low,6,3,18,5,21
41,sharedergodic,low,7,3,17,8,24
41,autoergodic,low,5,3,0,2,18
41,none,high,8,3,0,3,27
41,waypoint,high,7,3,14,4,24
41,directergodic,high,8,3,18,9,27
41,sharedergodic,high,7,4,0,5,25
41,autoergodic,high,7,3,0,8,24
42,none,low,5,1,0,4,16
42,waypoint,low,6,2,4,7,20
42,directergodic,low,6,2,7,7,20
42,sharedergodic,low,6,2,0,6,20
42,autoergodic,low,8,2,0,9,26
42,none,high,7,1,0,6,22
42,waypoint,high,7,1,9,7,22
42,directergodic,high,7,3,0,9,24
42,sharedergodic,high,8,1,8,8,25
42,autoergodic,high,7,2,0,8,23
7,sharedergodic,high,8,0,0,0,24
7,sharedergodic,high,6,0,7,0,18
7,autoergodic,high,6,3,0,0,21
8,autoergodic,low,6,3,0,0,21
9,waypoint,low,7,4,11,0,25
9,sharedergodic,low,6,3,5,0,21
11,autoergodic,high,8,3,0,7,27
18,sharedergodic,low,8,3,9,6,27
20,directergodic,high,8,0,13,8,24
21,autoergodic,low,8,4,0,9,28
21,waypoint,high,8,0,6,7,24
24,waypoint,high,7,3,13,7,24
24,autoergodic,high,8,3,0,8,27
27,autoergodic,high,8,3,0,9,27
28,autoergodic,high,8,0,0,7,24
34,directergodic,high,7,3,15,9,24
35,autoergodic,high,7,0,0,9,21
39,waypoint,low,7,0,13,10,21
39,autoergodic,high,8,3,0,9,27
