Time,id,x,y
1582001679.0,2.0,0.0,0.0
1582001679.0,3.0,0.0,0.0
1582001679.0,4.0,0.0,0.0
1582001679.0,5.0,0.0,0.0
1582001679.0,6.0,0.0,0.0
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001680.0,5.0,23.5,13.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001687.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001688.0,6.0,20.5,22.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001694.0,5.0,23.5,13.5
1582001695.0,5.0,23.5,13.5
1582001695.0,5.0,23.5,13.5
1582001695.0,5.0,23.5,13.5
1582001695.0,5.0,23.5,13.5
1582001695.0,5.0,23.5,13.5
1582001695.0,5.0,23.5,13.5
1582001695.0,5.0,23.5,13.5
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,1.0,26.189359664916992,25.698225021362305
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,1.0,26.189359664916992,25.698225021362305
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,1.0,26.189359664916992,25.698225021362305
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,1.0,26.189359664916992,25.698225021362305
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,1.0,26.189359664916992,25.698225021362305
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001695.0,1.0,26.189359664916992,25.698225021362305
1582001695.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,1.0,26.189359664916992,25.698225021362305
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001696.0,3.0,28.106105804443359,17.799015045166016
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,4.0,27.5,5.5
1582001698.0,2.0,6.0694522857666016,6.1415085792541504
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001698.0,4.0,27.5,5.5
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001701.0,2.0,6.0694522857666016,6.1415085792541504
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001704.0,1.0,26.189359664916992,25.698225021362305
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001706.0,3.0,28.106105804443359,17.799015045166016
1582001718.0,3.0,28.00994873046875,17.896188735961914
1582001718.0,3.0,28.00994873046875,17.896188735961914
1582001718.0,3.0,28.00994873046875,17.896188735961914
1582001718.0,3.0,28.00994873046875,17.896188735961914
1582001718.0,3.0,28.00994873046875,17.896188735961914
1582001718.0,3.0,28.002544403076172,17.903671264648438
1582001718.0,3.0,28.002544403076172,17.903671264648438
1582001718.0,3.0,28.002544403076172,17.903671264648438
1582001718.0,3.0,28.002544403076172,17.903671264648438
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1582001719.0,5.0,23.5,13.5
1.0,2.0,6.7915854454040527,6.1230401992797852
1.0,2.0,6.7915854454040527,6.1230401992797852
1.0,2.0,6.7915854454040527,6.1230401992797852
1.0,2.0,6.7915854454040527,6.1230401992797852
5.0,6.0,22.55879020690918,23.116880416870117
5.0,6.0,22.55879020690918,23.116880416870117
5.0,6.0,22.55879020690918,23.116880416870117
5.0,6.0,22.55879020690918,23.116880416870117
5.0,6.0,22.560449600219727,23.135318756103516
5.0,6.0,22.560449600219727,23.135318756103516
5.0,6.0,22.560449600219727,23.135318756103516
5.0,6.0,22.560449600219727,23.135318756103516
5.0,6.0,22.562099456787109,23.156543731689453
5.0,6.0,22.562099456787109,23.156543731689453
5.0,6.0,22.562099456787109,23.156543731689453
5.0,6.0,22.562099456787109,23.156543731689453
5.0,6.0,22.562099456787109,23.156543731689453
5.0,6.0,22.563228607177734,23.175457000732422
5.0,6.0,22.563228607177734,23.175457000732422
5.0,6.0,22.563228607177734,23.175457000732422
5.0,6.0,22.563228607177734,23.175457000732422
5.0,6.0,22.563228607177734,23.175457000732422
5.0,6.0,22.564350128173828,23.196403503417969
5.0,6.0,22.564350128173828,23.196403503417969
5.0,6.0,22.564350128173828,23.196403503417969
5.0,6.0,22.564350128173828,23.196403503417969
5.0,6.0,22.564350128173828,23.196403503417969
5.0,6.0,22.564350128173828,23.196403503417969
6.0,3.0,26.865377426147461,19.052873611450195
6.0,3.0,26.865377426147461,19.052873611450195
6.0,3.0,26.865377426147461,19.052873611450195
6.0,3.0,26.865377426147461,19.052873611450195
6.0,3.0,26.859647750854492,19.058664321899414
6.0,3.0,26.859647750854492,19.058664321899414
6.0,3.0,26.859647750854492,19.058664321899414
6.0,3.0,26.859647750854492,19.058664321899414
6.0,3.0,26.853307723999023,19.065071105957031
6.0,3.0,26.853307723999023,19.065071105957031
6.0,3.0,26.853307723999023,19.065071105957031
6.0,3.0,26.853307723999023,19.065071105957031
6.0,3.0,26.84686279296875,19.071584701538086
6.0,3.0,26.84686279296875,19.071584701538086
6.0,3.0,26.84686279296875,19.071584701538086
6.0,3.0,26.84686279296875,19.071584701538086
6.0,3.0,26.84686279296875,19.071584701538086
6.0,3.0,26.840824127197266,19.077688217163086
6.0,3.0,26.840824127197266,19.077688217163086
6.0,3.0,26.840824127197266,19.077688217163086
6.0,3.0,26.840824127197266,19.077688217163086
6.0,3.0,26.834163665771484,19.084419250488281
6.0,3.0,26.834163665771484,19.084419250488281
6.0,3.0,26.834163665771484,19.084419250488281
6.0,3.0,26.834163665771484,19.084419250488281
6.0,3.0,26.827823638916016,19.090826034545898
6.0,3.0,26.827823638916016,19.090826034545898
6.0,3.0,26.827823638916016,19.090826034545898
6.0,3.0,26.827823638916016,19.090826034545898
6.0,3.0,26.827823638916016,19.090826034545898
6.0,1.0,26.439596176147461,24.079059600830078
6.0,1.0,26.439596176147461,24.079059600830078
6.0,1.0,26.439596176147461,24.079059600830078
6.0,1.0,26.439596176147461,24.079059600830078
6.0,1.0,26.439596176147461,24.079059600830078
7.0,1.0,26.449674606323242,24.079059600830078
7.0,1.0,26.449674606323242,24.079059600830078
7.0,1.0,26.449674606323242,24.079059600830078
7.0,1.0,26.449674606323242,24.079059600830078
7.0,1.0,26.449674606323242,24.079059600830078
7.0,3.0,26.719316482543945,19.200481414794922
7.0,3.0,26.719316482543945,19.200481414794922
7.0,3.0,26.719316482543945,19.200481414794922
7.0,3.0,26.719316482543945,19.200481414794922
7.0,3.0,26.719316482543945,19.200481414794922
7.0,3.0,26.712560653686523,19.207309722900391
7.0,3.0,26.712560653686523,19.207309722900391
7.0,3.0,26.712560653686523,19.207309722900391
7.0,3.0,26.712560653686523,19.207309722900391
7.0,3.0,26.705291748046875,19.214656829833984
7.0,3.0,26.705291748046875,19.214656829833984
7.0,3.0,26.705291748046875,19.214656829833984
7.0,3.0,26.705291748046875,19.214656829833984
7.0,3.0,26.705291748046875,19.214656829833984
7.0,3.0,26.69898796081543,19.221027374267578
7.0,3.0,26.69898796081543,19.221027374267578
7.0,3.0,26.69898796081543,19.221027374267578
7.0,3.0,26.69898796081543,19.221027374267578
15.0,6.0,23.468706130981445,26.44013786315918
